Season,Team,Chassis,Engine,Rounds
1950,1,Alfa Romeo,Alfa Romeo,
1951,1,Alfa Romeo,Alfa Romeo,
1952,1,Ferrari,Ferrari,
1953,1,Ferrari,Ferrari,
1954,1,Maserati,Maserati,"1,3"
1954,2,Mercedes,Mercedes,4-Sep
1955,1,Mercedes,Mercedes,
1956,1,Ferrari,Ferrari,
1957,1,Maserati,Maserati,
1958,1,Ferrari,Ferrari,
1959,1,Cooper,Climax,
1960,1,Cooper,Climax,
1961,1,Ferrari,Ferrari,
1962,1,BRM,BRM,
1963,1,Lotus,Climax,
1964,1,Ferrari,Ferrari,
1965,1,Lotus,Climax,
1966,1,Brabham,Repco,
1967,1,Brabham,Repco,
1968,1,Lotus,Ford,
1969,1,Matra,Ford,
1970,1,Lotus,Ford,
1971,1,Tyrrell,Ford,
1972,1,Lotus,Ford,
1973,1,Tyrrell,Ford,
1974,1,McLaren,Ford,
1975,1,Ferrari,Ferrari,
1976,1,McLaren,Ford,
1977,1,Ferrari,Ferrari,
1978,1,Lotus,Ford,
1979,1,Ferrari,Ferrari,
1980,1,Williams,Ford,
1981,1,Brabham,Ford,
1982,1,Williams,Ford,
1983,1,Brabham,BMW,
1984,1,McLaren,TAG,
1985,1,McLaren,TAG,
1986,1,McLaren,TAG,
1987,1,Williams,Honda,
1988,1,McLaren,Honda,
1989,1,McLaren,Honda,
1990,1,McLaren,Honda,
1991,1,McLaren,Honda,
1992,1,Williams,Renault,
1993,1,Williams,Renault,
1994,1,Benetton,Ford,
1995,1,Benetton,Renault,
1996,1,Williams,Renault,
1997,1,Williams,Renault,
1998,1,McLaren,Mercedes,
1999,1,McLaren,Mercedes,
2000,1,Ferrari,Ferrari,
2001,1,Ferrari,Ferrari,
2002,1,Ferrari,Ferrari,
2003,1,Ferrari,Ferrari,
2004,1,Ferrari,Ferrari,
2005,1,Renault,Renault,
2006,1,Renault,Renault,
2007,1,Ferrari,Ferrari,
2008,1,McLaren,Mercedes,
2009,1,Brawn,Mercedes,
2010,1,Red Bull,Renault,
2011,1,Red Bull,Renault,
2012,1,Red Bull,Renault,
2013,1,Red Bull,Renault,
2014,1,Mercedes,Mercedes,
2015,1,Mercedes,Mercedes,
2016,1,Mercedes,Mercedes,
2017,1,Mercedes,Mercedes,
2018,1,Mercedes,Mercedes,
2019,1,Mercedes,Mercedes,
2020,1,Mercedes,Mercedes,
2021,1,Red Bull,Honda,
2022,1,Red Bull,RBPT,
2023,1,Red Bull,RBPT,
2024,1,Red Bull,RBPT,
